"user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
69430,2024-10-20,"Promotion",4.99,1
72736,2024-10-23,"Promotion",4.99,2
70538,2024-10-26,"Gold",4.99,1
75620,2024-12-13,"Promotion",4.99,3
83405,2024-12-10,"Promotion",4.99,5
83405,2024-12-20,"Gold",4.99,14
71222,2024-11-26,"Promotion",4.99,2
78530,2024-11-06,"Gold",4.99,1
91680,2024-11-05,"Gold",4.99,3
75471,2024-12-14,"Remove Ads",4.99,52
81110,2024-10-23,"Gold",4.99,40
94104,2024-10-16,"Promotion",4.99,12
79932,2024-11-23,"Promotion",4.99,1
83877,2024-10-18,"Gold",4.99,16
83877,2024-11-01,"Remove Ads",4.99,66
83877,2024-11-22,"Remove Ads",4.99,70
70701,2024-12-23,"Promotion",4.99,1
79583,2024-11-17,"Promotion",9.99,84
78877,2024-12-07,"Gold",4.99,14
80980,2024-12-12,"Gold",4.99,6
80980,2024-12-16,"Gold",4.99,8
78765,2024-11-27,"Gold",4.99,5
96751,2024-12-17,"Promotion",4.99,6
72070,2024-12-25,"Gold",4.99,3
71207,2024-12-04,"Promotion",9.99,12
71207,2024-12-22,"Remove Ads",NA,16
92496,2024-12-29,"Remove Ads",4.99,8
74340,2024-11-04,"Gold",4.99,1
77044,2024-10-18,"Gold",4.99,4
93120,2024-12-31,"Gold",4.99,5
74682,2024-12-16,"Remove Ads",4.99,8
97482,2024-12-16,"Gold",4.99,1
73483,2024-11-28,"Remove Ads",4.99,2
73952,2024-11-16,"Promotion",4.99,3
81821,2024-12-09,"Promotion",9.99,5
82440,2024-12-31,"Gold",4.99,6
73050,2024-12-01,"Remove Ads",4.99,14
85255,2024-11-09,"Promotion",4.99,3
74224,2024-12-07,"Gold",4.99,1
86978,2024-12-18,"Promotion",4.99,3
95904,2024-12-15,"Promotion",9.99,1
88775,2024-10-16,"Promotion",4.99,11
71856,2024-12-28,"Remove Ads",4.99,3
85244,2024-11-28,"Remove Ads",4.99,19
85244,2024-12-19,"Gold",9.99,23
93217,2024-12-16,"Promotion",4.99,1
95454,2024-12-13,"Promotion",4.99,3
79505,2024-11-21,"Promotion",9.99,10
95567,2024-10-28,"Promotion",9.99,7
71881,2024-11-05,"Promotion",4.99,5
80251,2024-10-19,"Gold",4.99,4
85776,2024-12-24,"Promotion",9.99,13
79104,2024-10-30,"Remove Ads",4.99,2
83433,2024-11-01,"Remove Ads",4.99,1
82776,2024-10-30,"Gold",9.99,4
76188,2024-12-10,"Promotion",4.99,3
86372,2024-12-25,"Remove Ads",4.99,6
73163,2024-11-10,"Promotion",4.99,17
91814,2024-11-16,"Promotion",4.99,8
95651,2024-10-21,"Gold",4.99,3
77778,2024-11-16,"Remove Ads",4.99,6
85898,2024-11-09,"Gold",4.99,22
89873,2024-12-31,"Remove Ads",4.99,2
87237,2024-12-31,"Promotion",4.99,21
77787,2024-10-14,"Promotion",4.99,3
92451,2024-10-18,"Promotion",4.99,13
81347,2024-11-29,"Promotion",9.99,14
90955,2024-10-26,"Gold",4.99,3
93802,2024-11-20,"Remove Ads",NA,7
91006,2024-11-11,"Remove Ads",4.99,1
79597,2024-12-25,"Promotion",9.99,18
93984,2024-11-06,"Promotion",4.99,1
90436,2024-12-12,"Promotion",4.99,1
96435,2024-11-25,"Gold",4.99,10
89793,2024-12-14,"Promotion",6.99,11
92446,2024-12-15,"Promotion",4.99,6
92446,2024-12-17,"Promotion",4.99,7
70218,2024-12-07,"Remove Ads",4.99,37
70218,2024-12-10,"Gold",4.99,40
70218,2024-12-25,"Gold",4.99,56
75345,2024-12-22,"Promotion",4.99,5
79920,2024-12-29,"Gold",9.99,3
93465,2024-12-03,"Remove Ads",4.99,16
89188,2024-10-21,"Promotion",9.99,19
71776,2024-11-20,"Gold",4.99,15
72046,2024-11-13,"Gold",4.99,7
72046,2024-11-25,"Promotion",4.99,13
74868,2024-12-14,"Gold",4.99,19
93876,2024-11-09,"Promotion",4.99,11
74511,2024-12-12,"Promotion",4.99,15
79217,2024-12-07,"Promotion",4.99,7
80876,2024-12-04,"Remove Ads",4.99,20
83405,2024-12-24,"Remove Ads",4.99,15
75336,2024-10-13,"Promotion",4.99,1
80329,2024-12-19,"Gold",4.99,24
79629,2024-12-16,"Promotion",4.99,2
91805,2024-12-29,"Gold",4.99,4
70528,2024-12-10,"Promotion",4.99,6
76108,2024-10-04,"Promotion",4.99,1
72359,2024-12-15,"Gold",4.99,10
91585,2024-11-07,"Remove Ads",4.99,10
83877,2024-10-24,"Gold",4.99,39
79583,2024-11-20,"Gold",4.99,87
79583,2024-11-20,"Gold",4.99,92
79583,2024-12-11,"Gold",4.99,163
75177,2024-11-21,"Promotion",9.99,49
92739,2024-12-12,"Gold",4.99,6
83964,2024-11-21,"Remove Ads",4.99,6
76941,2024-12-28,"Remove Ads",4.99,2
94553,2024-11-06,"Gold",4.99,4
95868,2024-12-20,"Promotion",4.99,16
92269,2024-10-18,"Promotion",4.99,5
85244,2024-12-17,"Promotion",4.99,22
95442,2024-12-26,"Promotion",4.99,5
71881,2024-12-26,"Promotion",4.99,32
96052,2024-12-27,"Promotion",4.99,2
83711,2024-12-01,"Gold",4.99,5
80761,2024-12-31,"Remove Ads",4.99,15
84745,2024-12-02,"Gold",4.99,21
79387,2024-11-01,"Promotion",4.99,20
79387,2024-11-10,"Gold",9.99,26
90119,2024-10-24,"Gold",4.99,5
72439,2024-10-15,"Promotion",6.99,8
81718,2024-10-10,"Gold",4.99,18
81718,2024-10-30,"Promotion",4.99,61
77098,2024-10-15,"Promotion",4.99,1
77778,2024-11-09,"Remove Ads",4.99,5
86063,2024-10-14,"Gold",4.99,4
85898,2024-11-08,"Gold",4.99,18
85898,2024-11-11,"Promotion",4.99,26
71404,2024-11-15,"Gold",9.99,3
78971,2024-12-29,"Gold",4.99,1
92469,2024-10-23,"Gold",4.99,2
81567,2024-12-26,"Gold",4.99,13
84314,2024-12-10,"Gold",4.99,2
71763,2024-12-26,"Gold",9.99,1
88124,2024-12-03,"Promotion",4.99,15
86043,2024-12-28,"Remove Ads",4.99,1
92451,2024-10-13,"Gold",9.99,11
92451,2024-11-01,"Gold",4.99,15
76146,2024-11-03,"Gold",29.99,6
80751,2024-12-20,"Remove Ads",4.99,15
86257,2024-12-04,"Remove Ads",4.99,13
91956,2024-12-31,"Promotion",4.99,12
93984,2024-12-11,"Remove Ads",4.99,11
94403,2024-11-01,"Gold",4.99,3
86874,2024-12-25,"Promotion",4.99,1
91073,2024-11-27,"Gold",4.99,9
92961,2024-10-13,"Remove Ads",4.99,1
85768,2024-12-31,"Gold",4.99,32
81891,2024-10-11,"Promotion",4.99,4
70583,2024-11-12,"Promotion",4.99,6
72240,2024-10-13,"Promotion",9.99,18
91184,2024-11-19,"Promotion",4.99,1
97402,2024-12-07,"Gold",4.99,2
84791,2024-12-01,"Gold",4.99,2
91409,2024-12-27,"Remove Ads",4.99,6
92823,2024-12-05,"Promotion",4.99,4
88054,2024-10-10,"Promotion",4.99,1
74431,2024-12-30,"Remove Ads",4.99,6
90732,2024-12-15,"Promotion",9.99,4
89188,2024-10-19,"Gold",9.99,15
90399,2024-12-26,"Gold",4.99,10
72306,2024-10-22,"Remove Ads",4.99,2
72306,2024-10-25,"Gold",4.99,4
92643,2024-12-20,"Remove Ads",4.99,15
81110,2024-10-14,"Gold",4.99,13
72359,2024-11-24,"Gold",4.99,2
74715,2024-12-08,"Gold",4.99,4
95536,2024-12-27,"Promotion",4.99,1
83405,2024-12-31,"Remove Ads",4.99,18
77802,2024-11-03,"Promotion",6.99,20
77802,2024-11-20,"Gold",4.99,32
77802,2024-12-10,"Promotion",4.99,45
84896,2024-12-17,"Gold",4.99,1
76851,2024-12-13,"Gold",9.99,4
83877,2024-10-20,"Promotion",9.99,17
85322,2024-12-18,"Gold",4.99,5
72024,2024-11-17,"Promotion",4.99,13
77204,2024-10-24,"Gold",4.99,3
79583,2024-12-22,"Gold",4.99,170
71207,2024-11-30,"Promotion",9.99,9
77559,2024-11-02,"Promotion",4.99,1
92739,2024-12-10,"Promotion",4.99,4
75152,2024-12-18,"Promotion",4.99,1
77712,2024-11-29,"Remove Ads",4.99,1
88864,2024-11-30,"Gold",4.99,7
96137,2024-11-18,"Promotion",4.99,2
84531,2024-12-18,"Gold",4.99,13
81239,2024-12-25,"Gold",4.99,4
92934,2024-11-09,"Gold",4.99,1
73952,2024-11-24,"Promotion",4.99,10
78791,2024-11-08,"Promotion",4.99,1
78791,2024-11-11,"Promotion",4.99,3
95634,2024-11-24,"Gold",4.99,9
83395,2024-12-29,"Promotion",9.99,22
95868,2024-12-12,"Gold",4.99,4
75626,2024-11-12,"Gold",19.99,2
92607,2024-10-25,"Gold",9.99,1
96167,2024-10-29,"Promotion",4.99,3
78582,2024-11-26,"Gold",4.99,7
71881,2024-11-19,"Promotion",4.99,12
80586,2024-12-13,"Promotion",4.99,4
89086,2024-11-17,"Gold",4.99,4
92942,2024-11-15,"Promotion",4.99,3
79991,2024-10-09,"Gold",4.99,1
72946,2024-12-15,"Remove Ads",4.99,6
81882,2024-12-13,"Promotion",4.99,14
82037,2024-11-06,"Gold",9.99,14
84745,2024-11-24,"Gold",4.99,7
81718,2024-10-05,"Gold",4.99,3
91814,2024-11-14,"Gold",4.99,6
91814,2024-12-27,"Remove Ads",NA,21
82672,2024-11-17,"Promotion",9.99,7
90756,2024-12-26,"Gold",4.99,24
75086,2024-11-08,"Remove Ads",4.99,4
85534,2024-12-24,"Promotion",4.99,4
96443,2024-12-18,"Promotion",4.99,1
83368,2024-11-08,"Promotion",4.99,1
83368,2024-12-13,"Promotion",9.99,6
84661,2024-12-15,"Promotion",4.99,2
74765,2024-10-29,"Gold",4.99,2
82610,2024-11-14,"Remove Ads",4.99,5
89860,2024-10-26,"Gold",4.99,1
90529,2024-11-01,"Gold",9.99,3
73288,2024-12-12,"Promotion",4.99,1
95580,2024-11-17,"Promotion",4.99,1
82570,2024-12-01,"Promotion",9.99,5
71404,2024-11-14,"Promotion",9.99,2
90537,2024-12-18,"Gold",19.99,1
87891,2024-11-12,"Promotion",9.99,12
75799,2024-12-02,"Promotion",4.99,18
75799,2024-12-03,"Promotion",4.99,19
92451,2024-10-06,"Gold",4.99,6
92451,2024-10-31,"Gold",9.99,14
79937,2024-12-04,"Promotion",9.99,10
96435,2024-11-22,"Gold",4.99,9
96435,2024-11-28,"Gold",4.99,13
96435,2024-12-25,"Gold",9.99,20
70218,2024-11-18,"Gold",9.99,24
75345,2024-12-24,"Promotion",4.99,9
92188,2024-12-24,"Gold",4.99,2
71839,2024-11-21,"Remove Ads",NA,8
96681,2024-12-29,"Gold",4.99,4
79701,2024-12-19,"Remove Ads",4.99,1
82970,2024-10-13,"Promotion",6.99,12
75329,2024-11-16,"Gold",4.99,1
85768,2024-11-29,"Gold",4.99,10
92744,2024-12-31,"Remove Ads",4.99,15
72425,2024-12-17,"Promotion",4.99,8
72205,2024-11-27,"Remove Ads",4.99,3
75288,2024-12-20,"Remove Ads",4.99,2
74868,2024-11-28,"Gold",4.99,11
91956,2024-11-25,"Gold",4.99,1
78830,2024-11-26,"Promotion",4.99,1
77043,2024-12-28,"Gold",4.99,3
74620,2024-11-02,"Gold",4.99,1
73100,2024-11-19,"Remove Ads",4.99,1
94104,2024-10-12,"Promotion",4.99,9
74686,2024-12-20,"Promotion",4.99,3
83405,2024-12-09,"Remove Ads",4.99,2
76076,2024-11-19,"Gold",9.99,22
76076,2024-11-25,"Gold",9.99,23
80980,2024-12-12,"Remove Ads",4.99,7
72218,2024-11-08,"Promotion",4.99,1
80329,2024-11-21,"Gold",4.99,1
80129,2024-10-15,"Gold",4.99,3
87393,2024-12-31,"Gold",4.99,12
91585,2024-11-14,"Remove Ads",4.99,12
73879,2024-10-22,"Promotion",4.99,14
71277,2024-11-24,"Promotion",4.99,1
78877,2024-12-31,"Promotion",4.99,20
80617,2024-12-18,"Remove Ads",4.99,1
72512,2024-12-19,"Remove Ads",4.99,9
82107,2024-10-13,"Promotion",4.99,3
82440,2024-12-31,"Remove Ads",4.99,7
71875,2024-12-13,"Promotion",4.99,5
83395,2024-12-30,"Gold",29.99,26
77445,2024-12-01,"Promotion",4.99,1
81239,2024-12-31,"Gold",9.99,11
81569,2024-10-31,"Promotion",4.99,8
83525,2024-11-24,"Gold",29.99,4
80251,2024-11-20,"Promotion",4.99,16
89086,2024-11-08,"Promotion",4.99,2
95169,2024-10-11,"Promotion",4.99,3
81882,2024-12-11,"Promotion",4.99,11
83094,2024-12-03,"Promotion",4.99,10
89479,2024-11-07,"Gold",4.99,6
81718,2024-11-19,"Promotion",4.99,66
91814,2024-12-20,"Promotion",4.99,20
75748,2024-10-14,"Remove Ads",NA,3
75748,2024-11-18,"Remove Ads",4.99,8
87237,2024-12-31,"Promotion",9.99,24
86063,2024-11-13,"Gold",4.99,39
88882,2024-12-24,"Promotion",4.99,11
89949,2024-12-31,"Promotion",4.99,1
90756,2024-12-23,"Gold",4.99,8
84314,2024-12-28,"Promotion",4.99,15
72660,2024-12-13,"Promotion",4.99,1
92469,2024-10-25,"Gold",4.99,3
85323,2024-12-26,"Gold",4.99,6
75799,2024-12-25,"Promotion",9.99,39
83798,2024-12-29,"Promotion",4.99,4
89976,2024-12-15,"Remove Ads",4.99,6
82472,2024-11-28,"Promotion",4.99,5
82472,2024-12-02,"Promotion",4.99,8
72124,2024-12-27,"Promotion",9.99,11
85768,2024-11-27,"Promotion",4.99,8
88217,2024-10-01,"Promotion",4.99,1
70404,2024-11-06,"Promotion",9.99,20
86257,2024-11-14,"Gold",4.99,2
75411,2024-11-24,"Gold",4.99,1
90529,2024-11-01,"Promotion",4.99,1
82962,2024-11-26,"Gold",4.99,1
87399,2024-10-14,"Gold",9.99,3
86376,2024-12-20,"Promotion",4.99,1
71613,2024-11-18,"Promotion",4.99,3
91691,2024-11-01,"Gold",4.99,1
92986,2024-11-02,"Promotion",4.99,1
75946,2024-10-26,"Gold",4.99,1
76966,2024-10-30,"Remove Ads",4.99,1
86920,2024-12-30,"Remove Ads",4.99,2
71126,2024-10-22,"Promotion",4.99,1
70583,2024-11-12,"Promotion",4.99,5
89188,2024-10-16,"Promotion",9.99,11
93638,2024-10-26,"Promotion",4.99,6
93638,2024-11-08,"Remove Ads",4.99,12
91073,2024-11-23,"Gold",4.99,7
85451,2024-12-24,"Promotion",4.99,2
70528,2024-12-06,"Promotion",4.99,5
75656,2024-12-02,"Remove Ads",4.99,1
91585,2024-11-09,"Gold",4.99,11
93820,2024-10-21,"Promotion",9.99,4
73348,2024-12-06,"Promotion",4.99,1
77802,2024-11-02,"Promotion",9.99,19
72736,2024-10-26,"Promotion",4.99,4
90754,2024-11-08,"Remove Ads",4.99,2
89000,2024-12-23,"Gold",9.99,4
74907,2024-12-27,"Promotion",4.99,1
74977,2024-10-18,"Promotion",4.99,1
75471,2024-12-20,"Gold",9.99,65
76230,2024-10-06,"Promotion",9.99,5
80329,2024-12-28,"Gold",4.99,35
79583,2024-10-27,"Gold",4.99,15
74160,2024-12-03,"Remove Ads",4.99,1
90840,2024-11-10,"Promotion",4.99,3
70162,2024-11-30,"Gold",4.99,14
78877,2024-11-27,"Gold",4.99,4
78540,2024-11-17,"Gold",4.99,5
75322,2024-10-21,"Promotion",9.99,4
94092,2024-12-21,"Promotion",4.99,3
88746,2024-12-30,"Promotion",4.99,8
95317,2024-10-31,"Remove Ads",NA,1
81821,2024-12-11,"Promotion",9.99,6
95634,2024-11-21,"Gold",4.99,2
84807,2024-11-26,"Gold",4.99,2
90752,2024-12-24,"Gold",4.99,11
73483,2024-11-29,"Promotion",4.99,4
90346,2024-10-07,"Gold",4.99,1
95868,2024-12-25,"Promotion",9.99,19
89157,2024-10-18,"Promotion",4.99,6
79770,2024-12-28,"Promotion",9.99,27
82395,2024-11-18,"Gold",4.99,3
94181,2024-12-06,"Gold",4.99,3
79171,2024-11-10,"Promotion",4.99,1
78577,2024-11-18,"Remove Ads",4.99,5
89178,2024-11-13,"Gold",4.99,3
71881,2024-11-12,"Promotion",4.99,10
80251,2024-11-27,"Remove Ads",4.99,18
85776,2024-12-17,"Promotion",4.99,8
91462,2024-10-29,"Promotion",4.99,1
93414,2024-11-12,"Gold",4.99,3
95651,2024-10-21,"Promotion",4.99,1
77394,2024-11-25,"Remove Ads",4.99,1
75281,2024-11-28,"Gold",4.99,2
70116,2024-12-15,"Promotion",4.99,16
75408,2024-11-14,"Remove Ads",4.99,2
79387,2024-12-30,"Gold",9.99,60
74366,2024-11-13,"Promotion",4.99,1
75086,2024-10-25,"Remove Ads",4.99,2
80767,2024-12-02,"Promotion",9.99,1
95289,2024-12-26,"Promotion",4.99,1
84175,2024-11-13,"Promotion",4.99,3
71404,2024-12-10,"Remove Ads",4.99,25
72660,2024-12-31,"Promotion",4.99,5
77787,2024-10-17,"Promotion",4.99,7
80904,2024-11-10,"Gold",29.99,7
89890,2024-11-17,"Gold",4.99,2
78058,2024-11-11,"Promotion",4.99,1
78256,2024-10-25,"Promotion",9.99,3
82111,2024-12-27,"Gold",4.99,1
96386,2024-12-02,"Remove Ads",NA,3
72240,2024-10-12,"Gold",4.99,14
70218,2024-10-16,"Promotion",4.99,6
70218,2024-11-17,"Promotion",4.99,21
93474,2024-10-09,"Remove Ads",4.99,1
90826,2024-10-15,"Promotion",4.99,2
96869,2024-10-23,"Remove Ads",4.99,7
70311,2024-10-29,"Promotion",9.99,12
86537,2024-10-20,"Gold",19.99,1
83163,2024-12-10,"Gold",4.99,1
79576,2024-11-26,"Promotion",4.99,2
79668,2024-10-18,"Gold",29.99,1
82967,2024-10-09,"Gold",9.99,2
91670,2024-11-12,"Promotion",4.99,2
93077,2024-11-19,"Promotion",4.99,1
75306,2024-12-05,"Gold",4.99,1
88305,2024-12-13,"Promotion",4.99,8
82756,2024-10-18,"Promotion",9.99,2
82756,2024-10-22,"Gold",9.99,4
85015,2024-10-30,"Promotion",9.99,9
72248,2024-11-26,"Gold",9.99,3
75397,2024-12-05,"Gold",4.99,6
72205,2024-11-18,"Promotion",9.99,1
74240,2024-12-26,"Remove Ads",4.99,4
88392,2024-11-10,"Gold",4.99,2
80556,2024-12-03,"Gold",9.99,6
73879,2024-10-11,"Gold",4.99,4
91085,2024-11-29,"Promotion",4.99,9
96699,2024-12-31,"Gold",19.99,2
71207,2024-11-24,"Promotion",4.99,8
79583,2024-11-01,"Gold",4.99,26
79583,2024-11-24,"Promotion",4.99,104
79583,2024-12-03,"Promotion",9.99,138
79583,2024-12-04,"Gold",4.99,143
94988,2024-12-12,"Gold",29.99,1
94988,2024-12-20,"Promotion",9.99,5
75177,2024-10-04,"Promotion",4.99,3
83184,2024-12-04,"Promotion",4.99,2
83628,2024-10-08,"Gold",4.99,5
83395,2024-11-28,"Gold",4.99,2
74924,2024-11-15,"Promotion",4.99,1
79770,2024-12-19,"Gold",4.99,16
82117,2024-12-29,"Gold",4.99,1
79505,2024-11-10,"Promotion",9.99,8
84826,2024-12-17,"Promotion",4.99,1
87887,2024-11-17,"Gold",4.99,4
78230,2024-11-01,"Promotion",4.99,8
93198,2024-12-22,"Gold",4.99,3
83094,2024-12-01,"Remove Ads",4.99,9
89293,2024-11-27,"Promotion",4.99,21
95169,2024-10-12,"Gold",4.99,5
80307,2024-12-25,"Promotion",9.99,6
86930,2024-11-27,"Promotion",9.99,2
90756,2024-12-27,"Promotion",9.99,29
82672,2024-11-23,"Promotion",9.99,12
82672,2024-11-28,"Promotion",4.99,15
78141,2024-12-13,"Gold",4.99,2
72240,2024-10-11,"Gold",9.99,6
85898,2024-10-31,"Gold",4.99,7
85898,2024-11-14,"Promotion",4.99,31
87237,2024-12-24,"Promotion",4.99,17
71404,2024-11-27,"Gold",4.99,12
72410,2024-11-15,"Gold",4.99,1
94429,2024-11-08,"Gold",4.99,17
96230,2024-10-03,"Gold",4.99,1
69876,2024-11-04,"Promotion",4.99,6
85311,2024-12-25,"Gold",4.99,3
90955,2024-11-01,"Gold",4.99,4
93802,2024-11-10,"Gold",4.99,2
84019,2024-11-16,"Promotion",4.99,4
93465,2024-11-30,"Gold",4.99,10
97143,2024-12-16,"Promotion",4.99,2
91445,2024-12-03,"Gold",9.99,4
95378,2024-11-08,"Promotion",4.99,1
80711,2024-12-18,"Remove Ads",4.99,1
79118,2024-11-30,"Gold",4.99,1
72830,2024-11-13,"Gold",4.99,7
71222,2024-12-01,"Promotion",4.99,4
71222,2024-12-04,"Promotion",4.99,6
71222,2024-12-24,"Promotion",4.99,17
79937,2024-11-16,"Promotion",4.99,3
72124,2024-12-23,"Promotion",9.99,3
85768,2024-12-09,"Gold",4.99,19
92744,2024-10-11,"Gold",4.99,1
70404,2024-11-03,"Promotion",9.99,17
70404,2024-11-20,"Promotion",6.99,27
74868,2024-12-06,"Gold",4.99,17
88366,2024-11-13,"Promotion",4.99,1
76504,2024-12-27,"Gold",9.99,4
76753,2024-12-03,"Promotion",4.99,2
74686,2024-12-20,"Gold",4.99,4
72736,2024-10-27,"Promotion",4.99,5
86492,2024-10-19,"Gold",9.99,5
78708,2024-12-08,"Gold",4.99,5
75471,2024-12-01,"Promotion",4.99,47
75471,2024-12-15,"Promotion",4.99,60
81110,2024-10-14,"Promotion",9.99,17
77602,2024-12-09,"Promotion",4.99,3
86900,2024-12-05,"Promotion",4.99,2
86900,2024-12-14,"Gold",4.99,10
69709,2024-12-03,"Remove Ads",4.99,3
69709,2024-12-10,"Remove Ads",4.99,4
73879,2024-11-16,"Remove Ads",4.99,23
83877,2024-10-27,"Gold",4.99,59
77315,2024-11-11,"Gold",4.99,1
83028,2024-11-14,"Remove Ads",4.99,1
79583,2024-11-02,"Remove Ads",NA,29
79583,2024-12-05,"Promotion",9.99,144
84531,2024-12-11,"Gold",4.99,4
90752,2024-12-14,"Gold",4.99,4
87691,2024-12-18,"Gold",4.99,8
73050,2024-11-16,"Promotion",4.99,8
82440,2024-12-28,"Promotion",4.99,2
95502,2024-12-23,"Promotion",6.99,6
72024,2024-10-28,"Promotion",4.99,6
72024,2024-11-20,"Gold",4.99,15
